task,stage,user,editors,updatedAt,instructions_understand,instructions_execute,instructions_replicate,goal_maximize,goal_standard,goal_optimize,goal_full,goal_partial,measure_easy,measure_immediate,outcome_certain,outcome_probablistic,outcome_evident,solution_valid,solution_optimal,solution_count,solution_range,solution_singularity,solution_path,solution_objectivity,solution_verifiability,solution_demonstrability,stakeholder_multiplicity,metric_multiplicity,objective_multiplicity,solution_multiplicity,individual_theoretical,individual_practical,group_dependencies,participation_equal,conflict_cooperation,conflict_interests,external_adversary,external_standard,task_divisibility,task_specialization,skills_specialization,subtasks_additive,subtasks_disjunctive,performance_all,performance_worst,performance_best,performance_random,performance_average,performance_cumulative,submission_together,submission_separate,subtasks_discretionary_weight,subtasks_discretionary_combination,complexity_easier,complexity_harder,familiarity_population,familiarity_individual,intrinsic_overall,intrinsic_mastery,intrinsic_connectedness,intrinsic_autonomy,effort_mental,effort_physical,generate_plan,generate_process,generate_ideas,generate_creativity,resolve_opinion,resolve_perspectives,resolve_information,resolve_data,options_evaluating,options_independent,options_dependent,metric_multiplicity_tradeoff,name_clean,name,phase,source,implemented,task summary url
Hidden figures in a picture,individual,Sarika,katelynbottcher -> sarikasu,2021-10-22T15:09:32.063Z,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,More than 20,more than 20 ,Somewhat disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,"c(""Best performing member"", ""Cumulative performance"")",Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,less images to memorize ,more image to memorize ,Strongly disagree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Somewhat agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,hidden figures in a picture,Hidden figures in a picture,2,https://psycnet.apa.org/record/2000-12254-014,FALSE,https://github.com/Watts-Lab/task-mapping/blob/1268e33fb640b059dfa6a04cf627008f48ed2693/tasks/Hidden%20figure%20in%20a%20picture.md
Public goods game,agreement,Sarika | Dodge,vivianxdx -> sarikasu dodgehill,2021-10-31T20:57:11.086Z,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Somewhat disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Somewhat disagree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,More than 20,More than 20,Strongly disagree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,NA,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Cumulative performance,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Somewhat agree,Strongly disagree,Use the clear jar form of the experiment,"Add multiple jars to put money into, each with their own multipliers",Somewhat agree,Strongly disagree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,public goods game,Public goods game,2,https://en.wikipedia.org/wiki/Public_goods_game,FALSE,https://github.com/Watts-Lab/task-mapping/blob/public_goods_task/tasks/public_goods_task.md
Advertisement writing,individual,Katelyn,sarikasu -> katelynbottcher,2021-04-04T16:31:45.778Z,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,More than 20,More than 20,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Somewhat agree,Somewhat agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,"c(""Best performing member"", ""Cumulative performance"")",Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,smaller character limit,greater character limit,Somewhat agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,advertisement writing,Advertisement writing,2,https://hci.stanford.edu/publications/2019/fracture/fracture-cscw2019.pdf; Iykourentzou 2016 and 2017; also originally Dow,FALSE,https://github.com/Watts-Lab/task-mapping/blob/29d07cb7799f4471cf1b5723ac2d214690c8744d/tasks/Advertisement%20Writing.md
Whac-A-Mole,individual,Sarika,katelynbottcher  -> sarikasu,2021-04-03T21:12:42.189Z,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,More than 20,more than 20 ,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,NA,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Cumulative performance,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,NA,NA,remove distractor colors ,include more competitors to observe/complicate things,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,whac a mole,Whac-A-Mole,2,https://www.pnas.org/content/pnas/110/50/20046.full.pdf,FALSE,https://github.com/Watts-Lab/task-mapping/blob/master/tasks/Whac-A-Mole.md
Oligopoly game,agreement,Sarika | Katelyn,sarikasu -> katelynbottcher,2021-05-10T14:54:00.271Z,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,1,1,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Cumulative performance,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,players explain choices after each vote for strategy for future rounds,groups should always be an odd number ,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,oligopoly game,Oligopoly game,2,Hemenway Moore and Whitney,FALSE,https://github.com/Watts-Lab/task-mapping/blob/b4cbfe7c3979f3cf1f39b242336a93c295f7a392/tasks/Oligopoly%20Game.md
Divergent Association Task,individual,Dodge,dodgehill -> sarikasu,2021-10-14T00:27:35.774Z,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,More than 20,More than 20,Strongly disagree,Strongly agree,Somewhat disagree,Strongly agree,Somewhat agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,"c(""Best performing member"", ""Cumulative performance"")",Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Increase the number of nouns requested from participants,Give the participants nouns they they are not allowed to associate their generated noun with,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Neither agree nor disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,divergent association,Divergent Association Task,2,https://www.pnas.org/content/118/25/e2022340118,TRUE,https://github.com/Watts-Lab/task-mapping/blob/master/tasks/Divergent%20Association%20Task.md
Recall stories,individual,Sarika,sarikasu -> joycewang3,2021-10-29T16:02:19.364Z,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Somewhat agree,Strongly agree,Strongly agree,11-20,11-20 ,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Somewhat disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,"c(""Best performing member"", ""Average performance"")",Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Allow the participants to read/hear the story an additional time ,limit the communication between participants during recall ,Strongly disagree,Strongly disagree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Somewhat agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,recall stories,Recall stories,2,https://onlinelibrary.wiley.com/doi/full/10.1111/j.1467-9450.2005.00465.x,FALSE,https://github.com/Watts-Lab/task-mapping/blob/8b327608eaa9f2557e8d2d9bc6f9794b54331763/Recall%20Stories.md
Random dot motion,agreement,bvikram03 | Karan,bvikram03 -> sarikasu,2021-10-05T22:09:57.947Z,Strongly disagree,Strongly disagree,Strongly disagree,Somewhat agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,More than 20,More than 20,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Cumulative performance,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Increase the proportions of correlated dots,Decrease the proportions of correlated dots,Somewhat disagree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,random dot motion,Random dot motion,2,https://www.pnas.org/content/114/16/4117.short,TRUE,
Best job candidate (hidden-profile),agreement,Sarika | katelynnbottcher,sarikasu -> katelynbottcher,2021-10-18T20:55:47.644Z,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,2-5,2-5,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,NA,Strongly disagree,Strongly disagree,Somewhat disagree,Strongly disagree,Strongly disagree,Cumulative performance,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,give participants same information ,give the participants conflicting information ,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,best job candidate,Best job candidate (hidden-profile),2,https://www.sciencedirect.com/science/article/pii/S0022103106000898  https://psycnet.apa.org/record/2006-21634-007,FALSE,https://github.com/Watts-Lab/task-mapping/issues/110#issue-861525108
Minimal Group Paradigm (study diversity),agreement,Sarika | Karan,sarikasu -> KaranSampath,2021-10-08T21:32:58.462Z,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,More than 20,More than 20,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Cumulative performance,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,They could provide descriptions of the other group to make their decisions,They could reduce the amount of resources to allocate,Strongly disagree,Strongly disagree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,minimal group paradigm study diversity,Minimal Group Paradigm (study diversity),2,https://en.wikipedia.org/wiki/Minimal_group_paradigm,FALSE,https://github.com/Watts-Lab/task-mapping/blob/master/tasks/Minimal%20Group%20Paradigm%20(study%20diversity).md
"Strike Group Defender (developed by Metateq, Inc.)",individual,Karan,sarikasu -> KaranSampath,2021-08-18T06:21:33.069Z,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,More than 20,More than 20,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Best performing member,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,The researcher could increase the time limit of the task,The researcher could reduce the time limit of the task,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,"strike group defender developed by metateq, inc.","Strike Group Defender (developed by Metateq, Inc.)",2,https://journals.sagepub.com/doi/full/10.1177/1555343419867563,FALSE,https://github.com/Watts-Lab/task-mapping/blob/master/tasks/Strike%20Group%20Defender%20(developed%20by%20Metateq%2C%20Inc.).md
Writing story,individual,Sarikasu,sarikasu -> KaranSampath,2021-08-12T15:30:56.540Z,Strongly disagree,Strongly disagree,Somewhat agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,More than 20,More than 20,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Somewhat agree,Strongly disagree,Strongly disagree,Strongly disagree,Somewhat agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Best performing member,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,give teams a brainstorm period and a separate writing period ,provide more requirements that the story has to include ,Strongly disagree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Somewhat agree,Somewhat agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,writing story,Writing story,2,https://psycnet.apa.org/record/1986-01128-001,FALSE,https://github.com/Watts-Lab/task-mapping/blob/master/tasks/Writing%20Story.md
Chicken,agreement,Sarika | Andrew,sarikasu -> andydrew93,2021-04-01T15:32:46.360Z,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,2-5,4,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Cumulative performance,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,remove mutual defection ,allow punishment after mutual defection or mutual cooperation,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,chicken,Chicken,2,"frick, Rose and Kolle 2017",FALSE,https://github.com/Watts-Lab/task-mapping/blob/3766267dbf0eabd930a1d96c856bdbd9e299b110/tasks/Chicken.md
Recall association,individual,Katelyn,sarikasu -> katelynbottcher,2021-03-06T20:41:27.261Z,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,1,1,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Somewhat disagree,Cumulative performance,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,Neither agree nor disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,recall less words,recall more words,Somewhat disagree,Strongly disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,NA,recall association,Recall association,2,https://link.springer.com/article/10.3758/BF03196740,FALSE,https://github.com/Watts-Lab/task-mapping/blob/1268e33fb640b059dfa6a04cf627008f48ed2693/tasks/recall-association.md
Game of Clue - Terrorist Attack,individual,Katelyn,sarikasu -> katelynbottcher,2021-05-06T18:49:03.346Z,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,6-10,6-10,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Cumulative performance,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,more clues,less clues,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,game of clue  terrorist attack,Game of Clue - Terrorist Attack,2,https://pubsonline.informs.org/doi/full/10.1287/orsc.2015.0980,FALSE,https://github.com/Watts-Lab/task-mapping/blob/b39bf9b09554a149e7c127af23e95f1d636380c8/tasks/Game%20of%20Clue%20-%20Terrorist%20Attack.md
Shopping plan,agreement,Katelyn | Sarika,katelynbottcher -> sarikasu,2021-03-29T18:35:54.087Z,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,6-10,6-10,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,"c(""Best performing member"", ""Cumulative performance"")",Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,make the list shorter,add more options,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,shopping plan,Shopping plan,2,https://science.sciencemag.org/content/330/6004/686.full,FALSE,https://github.com/Watts-Lab/task-mapping/pull/20
Iterative lemonade stand task,agreement,Katelyn | Dodge,dodgehill -> katelynbottcher,2021-10-13T20:04:22.890Z,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,More than 20,more than 20,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,"c(""Best performing member"", ""Cumulative performance"")",Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,"Present participants with a graph, plotting the solutions they have already submitted so that they can more easily visualize the solution","Present participants with a graph, plotting the solutions they have already submitted so that they can more easily visualize the solution",Somewhat agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Somewhat agree,Somewhat agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,iterative lemonade stand,Iterative lemonade stand task,2,https://www.repository.cam.ac.uk/bitstream/handle/1810/288054/Kavadias_how%20do%20you%20search%20for%20the%20best%20alternative.pdf,FALSE,https://github.com/Watts-Lab/task-mapping/blob/37cb66d6dc140132dc571e1d5ad87e9d359cfbed/tasks/Iterative%20Lemonade%20Stand.md
Energetics Meets Generex,individual,Sarika,sarikasu -> KaranSampath,2021-08-12T15:23:07.341Z,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,11-20,11-20 ,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Average performance,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Remove some of the differences in terms between the buyer and seller ,add more terms that differ for the buyer and seller ,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,energetics meets generex,Energetics Meets Generex,2,https://journals.sagepub.com/doi/pdf/10.1177/0146167213499236?casa_token=ia8oDWawBesAAAAA%3AfCfRYZjFEWwJkPfanRM1719v3HMsm7BTQDtoz2Wfk7Jac1Wx76XvqkJQ1VwzYApxQ2XheIs15zZ7kQ&,FALSE,https://github.com/Watts-Lab/task-mapping/blob/master/tasks/Energetics%20Meets%20Generex.md
